x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score
0.81293494,0.21722269,0.8972106,0.13294697,0.67998797,0.08427572,0.9878024458885193,0.9901453256607056,0.5980935,0.094676495
0.78808194,0.28008932,0.872461,0.19571024,0.5923717,0.08437908,0.9830520749092102,0.9862575531005859,0.483355,0.043743253
0.8524207,0.41689426,0.9366896,0.3326254,0.5197953,0.08426887,0.9813618659973145,0.9849058985710144,0.6399562,0.108406365
0.79521227,0.31134087,0.89433753,0.21221554,0.5829967,0.099125326,0.9831627607345581,0.9795999526977539,0.4588176,0.060563207
0.79779214,0.1584636,0.9019882,0.054267526,0.7435246,0.10419607,0.9920347929000854,0.990259051322937,0.5080317,0.040650904
0.73189557,0.23314053,0.84103924,0.123996854,0.6078987,0.109143674,0.9863414764404297,0.9868742227554321,0.489038,0.01651001
0.77650964,0.17763168,0.83622456,0.11791676,0.6585929,0.059714913,0.9874057173728943,0.9865474104881287,0.48181045,-0.075718045
0.8143561,0.0916335,0.87105525,0.034934342,0.77942175,0.056699157,0.9775958061218262,0.9798527956008911,0.6077771,0.015996814
0.8354568,0.19797385,0.9006157,0.13281488,0.7026419,0.06515896,0.9873542189598083,0.9842618107795715,0.64979315,-0.013311982
0.812667,0.14410818,0.8950199,0.0617553,0.7509117,0.08235288,0.9865067601203918,0.9861806631088257,0.57716984,0.005204022
0.8005607,0.16476041,0.87029415,0.09502697,0.70553374,0.06973344,0.9866592288017273,0.9833935499191284,0.47897887,0.06019509
0.8477561,0.26448464,0.9029942,0.20924658,0.6385095,0.055238068,0.9908039569854736,0.9867914319038391,0.6755228,0.02817458
0.83606887,0.19128686,0.9046987,0.12265694,0.7134119,0.06862992,0.9888497591018677,0.9861259460449219,0.604964,0.0679332
0.7701946,0.16846341,0.8571966,0.08146137,0.6887332,0.08700204,0.9847859740257263,0.9832966327667236,0.55250853,0.03045845
0.86172897,0.26752937,0.9181819,0.2110765,0.65065247,0.05645287,0.9827998280525208,0.9872193336486816,0.64278364,0.054860413
0.8073711,0.315996,0.8945576,0.22880948,0.5785616,0.087186515,0.9809346199035645,0.9763087630271912,0.5887679,0.06006223
0.7368658,0.2486481,0.83061117,0.15490276,0.58196306,0.09374535,0.9826104044914246,0.9836224317550659,0.5031328,0.04098177
0.8045428,0.2415266,0.8980543,0.14801508,0.6565277,0.09351152,0.986354410648346,0.9863940477371216,0.5531449,0.088276625
0.78628266,0.37259704,0.87601507,0.2828647,0.50341797,0.08973235,0.9841122627258301,0.9817892909049988,0.44147593,0.11638093
0.7589645,0.23632556,0.9014108,0.09387922,0.66508526,0.14244634,0.9826249480247498,0.9808892011642456,0.35773915,0.00046801567
0.78353316,0.25997108,0.87479174,0.1687125,0.61482066,0.091258585,0.9851115345954895,0.9860025644302368,0.48517984,-0.02736485
0.80580664,0.212488,0.8837279,0.13456666,0.67124,0.07792133,0.9855533242225647,0.9888577461242676,0.62848645,0.06764686
0.8361304,0.2264145,0.90500444,0.15754038,0.67859,0.06887412,0.9896395206451416,0.986876904964447,0.6322013,0.09632689
0.8557154,0.3279578,0.90218437,0.28148878,0.5742266,0.046469033,0.9811154007911682,0.9846271872520447,0.62060773,0.09296453
0.7785904,0.2358653,0.8784289,0.1360268,0.6425636,0.099838495,0.9777107834815979,0.9773262143135071,0.42238498,0.077059984
0.8190759,0.06453204,0.8880019,-0.004393995,0.8234699,0.06892604,0.9863641858100891,0.9853535890579224,0.54370403,-0.01290381
0.8367635,0.3750248,0.8840603,0.32772797,0.5090355,0.047296822,0.987998902797699,0.986690878868103,0.5645191,0.031707287
0.83980304,0.21625984,0.91566545,0.14039749,0.69940555,0.07586235,0.9872609376907349,0.9860314130783081,0.6467859,0.05050111
0.797346,0.16927397,0.86914504,0.09747493,0.69987106,0.07179904,0.9806923270225525,0.9841447472572327,0.5028071,0.052413106
