x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score
0.7565036,0.6243615,0.889573,0.49129212,0.26521146,0.1330694,0.9878024458885193,0.9901453256607056,0.22346705,0.16465348
0.76945156,0.68634623,0.8839412,0.5718566,0.19759494,0.114489615,0.9830520749092102,0.9862575531005859,0.13507986,0.06577164
0.80932534,0.72606695,0.93648964,0.59890264,0.2104227,0.1271643,0.9813618659973145,0.9849058985710144,0.30032402,0.13714105
0.7712434,0.7007575,0.902223,0.56977785,0.20146555,0.13097966,0.9831627607345581,0.9795999526977539,0.11928475,0.11872554
0.75411296,0.6324503,0.9038079,0.48275542,0.27135754,0.14969486,0.9920347929000854,0.990259051322937,0.11732894,0.12324864
0.6845094,0.63666093,0.844106,0.4770643,0.20744509,0.15959662,0.9863414764404297,0.9868742227554321,0.11907995,0.019584239
0.7431427,0.6245443,0.84020185,0.52748513,0.21565759,0.09705919,0.9874057173728943,0.9865474104881287,0.09036243,-0.07848334
0.7415413,0.50294065,0.8498934,0.39458865,0.34695268,0.108352005,0.9775958061218262,0.9798527956008911,0.22375983,0.074867666
0.7638521,0.5882243,0.88609606,0.46598035,0.29787177,0.12224394,0.9873542189598083,0.9842618107795715,0.2659346,0.00047957897
0.7631929,0.59751666,0.89353645,0.4671731,0.2960198,0.13034356,0.9865067601203918,0.9861806631088257,0.18336654,0.033821464
0.76451385,0.62150097,0.8768635,0.50915134,0.2553625,0.11234963,0.9866592288017273,0.9833935499191284,0.10780877,0.10884589
0.8005297,0.6208397,0.8945129,0.52685654,0.27367318,0.09398317,0.9908039569854736,0.9867914319038391,0.31072986,0.04195428
0.7872037,0.6023974,0.89956504,0.49003607,0.29716766,0.11236131,0.9888497591018677,0.9861259460449219,0.21816862,0.1180861
0.7218133,0.5701412,0.85341513,0.4385394,0.28327394,0.13160181,0.9847859740257263,0.9832966327667236,0.17368704,-0.0017353296
0.8243747,0.6364111,0.91371614,0.5470696,0.27730507,0.08934146,0.9827998280525208,0.9872193336486816,0.28164637,0.10374588
0.76956093,0.6834308,0.90060693,0.5523848,0.21717614,0.131046,0.9809346199035645,0.9763087630271912,0.2398696,0.09384662
0.67812634,0.6236166,0.8255693,0.47617364,0.2019527,0.14744294,0.9826104044914246,0.9836224317550659,0.16557378,0.05221349
0.76441467,0.655687,0.8988242,0.5212774,0.24313724,0.13440955,0.986354410648346,0.9863940477371216,0.17423242,0.13976145
0.7781265,0.73019785,0.8950249,0.6132995,0.16482699,0.11689836,0.9841122627258301,0.9817892909049988,0.1347096,0.172548
0.75139374,0.7391978,0.9204846,0.5701069,0.18128681,0.16909087,0.9826249480247498,0.9808892011642456,0.01989019,0.057150424
0.75508595,0.67401326,0.8868878,0.5422114,0.21287453,0.13180184,0.9851115345954895,0.9860025644302368,0.08970475,-0.018812418
0.7696256,0.6195072,0.88394916,0.5051836,0.26444203,0.114323616,0.9855533242225647,0.9888577461242676,0.25330067,0.13230711
0.7734437,0.61665857,0.89309454,0.49700773,0.27643597,0.11965084,0.9896395206451416,0.986876904964447,0.24720603,0.12472898
0.82362723,0.6869137,0.8982833,0.61225766,0.21136957,0.07465607,0.9811154007911682,0.9846271872520447,0.24895746,0.09569883
0.7624737,0.6844647,0.89805245,0.54888594,0.21358776,0.13557875,0.9777107834815979,0.9773262143135071,0.08007467,0.12871468
0.76104856,0.53729475,0.8767872,0.42155612,0.33949244,0.11573863,0.9863641858100891,0.9853535890579224,0.13311148,0.044541657
0.81717116,0.7128851,0.8885963,0.64145994,0.17571121,0.07142514,0.987998902797699,0.986690878868103,0.23633224,0.05461043
0.78150284,0.60124445,0.905622,0.4771253,0.30437756,0.12411916,0.9872609376907349,0.9860314130783081,0.26051712,0.070887744
0.7670185,0.6245332,0.87615895,0.5153928,0.25162572,0.109140396,0.9806923270225525,0.9841447472572327,0.11337739,0.15818226
0.7258638,0.61647296,0.8822562,0.46008056,0.26578325,0.1563924,0.9864402413368225,0.9873278141021729,0.20497799,0.05267465
0.7506684,0.63786376,0.879755,0.50877714,0.24189126,0.12908661,0.9842780828475952,0.982651948928833,0.1023345,0.17126417
0.7442863,0.67159927,0.8877329,0.52815264,0.21613365,0.14344662,0.9885773658752441,0.9853910207748413,0.20055705,0.027641356
0.8104698,0.6646726,0.8869326,0.58820987,0.22225994,0.076462746,0.9893024563789368,0.9928349852561951,0.09404498,-0.05336106
0.8645508,0.66896325,0.9251353,0.6083787,0.25617212,0.060584545,0.9841713905334473,0.9858047366142273,0.23563623,0.04247397
0.7934335,0.6562029,0.909535,0.54010147,0.25333202,0.116101444,0.9869751930236816,0.9874531626701355,0.17566836,0.121178865
0.7446685,0.60025716,0.86693394,0.4779917,0.26667678,0.12226546,0.9878940582275391,0.9870476722717285,0.13441181,0.066312075
0.7349794,0.609797,0.87926924,0.46550715,0.26947224,0.14428985,0.985994279384613,0.9852180480957031,0.3339005,0.053154647
0.8051191,0.7002466,0.89996487,0.60540074,0.19971836,0.09484583,0.9773427248001099,0.9803683161735535,0.099170625,0.082947016
0.7520658,0.6657891,0.8942531,0.52360183,0.22846395,0.1421873,0.9850291013717651,0.9864898920059204,0.23379141,0.15864152
0.7410573,0.6827742,0.88222694,0.5416045,0.19945276,0.14116967,0.9813463091850281,0.9838565587997437,0.14711237,0.031016052
0.7948017,0.5797602,0.89713967,0.47742224,0.31737947,0.10233796,0.9894097447395325,0.9893653988838196,0.17499173,0.02781868
0.8218403,0.7480292,0.89396983,0.6758997,0.1459406,0.07212949,0.9815286993980408,0.9823473691940308,0.25224704,0.06393331
0.83777463,0.7259503,0.9263936,0.63733137,0.20044327,0.088618934,0.9805609583854675,0.9834728837013245,0.3256775,0.04228556
0.8075524,0.66719455,0.8875836,0.5871633,0.22038907,0.080031216,0.9903174638748169,0.9875946640968323,0.18675059,0.10579014
0.7536068,0.6527873,0.8831588,0.5232353,0.23037148,0.129552,0.9827432632446289,0.984347403049469,0.25582618,0.09946662
0.7628221,0.6883062,0.9029638,0.5481644,0.21465766,0.14014179,0.9759214520454407,0.9812633395195007,0.21030867,0.10253453
0.7879893,0.55294466,0.89158136,0.44935268,0.33863664,0.10359198,0.9889806509017944,0.989902913570404,0.25080144,-0.023014784
0.67443025,0.6856078,0.8685607,0.49147737,0.18295288,0.19413042,0.9892075657844543,0.9849398136138916,0.13658077,0.098878026
0.75624245,0.7105385,0.898188,0.5685929,0.18764955,0.1419456,0.9898974895477295,0.9890170693397522,0.037285745,-0.021688223
0.81024307,0.65406406,0.9028033,0.56150377,0.2487393,0.09256029,0.9900395274162292,0.9874527454376221,0.32516867,0.088829875
0.7951379,0.66231763,0.89988536,0.55757016,0.23756772,0.104747474,0.9898282885551453,0.9881141185760498,0.096289456,0.12442738
0.71896225,0.6465366,0.8678477,0.4976511,0.22131115,0.14888549,0.984630823135376,0.9841864109039307,0.22469717,0.017723799
0.80507505,0.6516057,0.91212887,0.5445519,0.26052314,0.10705382,0.9915785789489746,0.9870462417602539,0.21174842,0.02722764
0.81888896,0.6832845,0.9086124,0.59356105,0.22532791,0.08972347,0.9807049632072449,0.9865052103996277,0.18536222,0.081154525
0.8203484,0.6311884,0.90294766,0.5485891,0.27175927,0.08259928,0.9857928156852722,0.9855848550796509,0.2906003,0.08002412
0.7654042,0.667868,0.88835704,0.5449152,0.22048903,0.12295282,0.9907171130180359,0.9882127046585083,0.30784798,0.12055051
0.7359224,0.57745206,0.885538,0.42783654,0.30808586,0.14961553,0.9853624701499939,0.9852064847946167,0.10880792,0.13989705
0.789665,0.6570208,0.90894943,0.53773636,0.25192863,0.11928445,0.9833753705024719,0.9822301864624023,0.022651076,0.14103073
0.7546191,0.6741601,0.88923883,0.5395404,0.21507871,0.13461971,0.9880697727203369,0.9846851229667664,0.14478964,0.15470243
0.8294042,0.71432745,0.9082676,0.6354641,0.1939401,0.07886338,0.9872832298278809,0.9799125790596008,0.1300782,-0.082252026
0.804405,0.64037013,0.8914546,0.5533205,0.25108445,0.0870496,0.990155816078186,0.9891153573989868,0.07516253,0.024255753
0.768191,0.6347978,0.8697666,0.5332222,0.23496878,0.10157561,0.9798911213874817,0.9813489317893982,0.21208441,0.017700255
0.800048,0.63976634,0.91289496,0.52691936,0.27312863,0.11284697,0.9837726354598999,0.9858108162879944,0.2583598,0.06353241
0.73462105,0.68187237,0.8908511,0.52564234,0.20897871,0.15623003,0.9844979643821716,0.9861504435539246,0.08328903,0.09781492
