x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score
0.8839879,0.4565441,0.8840001,0.45653194,0.42745596,1.21593475e-05,0.9878024458885193,0.9901453256607056,0.36374015,-0.009544015
0.8837376,0.59409213,0.8837615,0.59406817,0.28966945,2.3961067e-05,0.9830520749092102,0.9862575531005859,0.2098459,-0.007904053
0.9350509,0.6189582,0.9350556,0.61895347,0.31609744,4.708767e-06,0.9813618659973145,0.9849058985710144,0.45510304,-0.0020375252
0.89340186,0.5608585,0.89352816,0.5607322,0.33266968,0.00012630224,0.9831627607345581,0.9795999526977539,0.2285403,-0.03749013
0.9040866,0.47780186,0.9041334,0.477755,0.42633158,4.684925e-05,0.9920347929000854,0.990259051322937,0.26516426,-0.005362749
0.8502077,0.5412589,0.85024214,0.5412245,0.3089832,3.439188e-05,0.9863414764404297,0.9868742227554321,0.23856592,-0.035369992
0.85314536,0.5520271,0.85316634,0.5520061,0.30113924,2.0980835e-05,0.9874057173728943,0.9865474104881287,0.17432535,-0.04979348
0.8616046,0.381945,0.8615921,0.38195747,0.4796471,-1.2457371e-05,0.9775958061218262,0.9798527956008911,0.38662338,-0.0013192892
0.897266,0.5009147,0.89726275,0.500918,0.396348,-3.2782555e-06,0.9873542189598083,0.9842618107795715,0.42175382,-0.0065568686
0.9005168,0.49569416,0.90055126,0.49565965,0.40485716,3.451109e-05,0.9865067601203918,0.9861806631088257,0.28055346,-0.003565073
0.870375,0.48639637,0.87041026,0.4863611,0.3840139,3.528595e-05,0.9866592288017273,0.9833935499191284,0.21030271,-0.00047016144
0.90346867,0.54296243,0.90347713,0.542954,0.36051464,8.404255e-06,0.9908039569854736,0.9867914319038391,0.44597685,0.0017219186
0.8979663,0.44389075,0.89794356,0.44391352,0.4540528,-2.2768974e-05,0.9888497591018677,0.9861259460449219,0.3392666,-0.020295858
0.8730118,0.5009872,0.8730015,0.5009975,0.37201434,-1.0311604e-05,0.9847859740257263,0.9832966327667236,0.22036815,-0.004317999
0.9208245,0.52843535,0.9208182,0.52844167,0.39238286,-6.3180923e-06,0.9827998280525208,0.9872193336486816,0.44636762,0.0013040304
