x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score
0.37951076,0.457635,0.8612443,-0.024098575,0.40360934,0.48173356,0.9763390421867371,0.9752799272537231,0.074445605,0.042699993
0.4469962,0.48734176,0.89893126,0.03540671,0.4115895,0.45193505,0.9757513999938965,0.9719873666763306,0.22478497,0.19605464
0.42115468,0.43474394,0.7981926,0.057706,0.36344868,0.37703794,0.97701096534729,0.9802560210227966,0.059155583,-0.02036357
0.51590693,0.4788174,0.85155106,0.14317328,0.37273365,0.33564413,0.9795547723770142,0.9824047684669495,0.19799161,0.29717338
0.5323303,0.53387356,0.8658093,0.20039451,0.33193576,0.33347905,0.9776995182037354,0.9766116738319397,0.23379827,0.16903585
0.42943448,0.50370204,0.8279381,0.10519844,0.32423604,0.3985036,0.9820864796638489,0.9812853336334229,0.095183134,0.105565965
0.5305205,0.58875155,0.8531774,0.26609457,0.26442593,0.322657,0.9799718260765076,0.9760400652885437,0.22959566,0.20224464
0.56336504,0.46059668,0.8733226,0.15063918,0.41272587,0.3099575,0.9828212261199951,0.9766963720321655,0.1833142,0.096325636
0.4128549,0.5211369,0.8878541,0.04613769,0.36671722,0.4749992,0.9772192239761353,0.9771804809570312,0.25157845,0.3645599
0.55397415,0.59592086,0.8759677,0.27392727,0.28004688,0.3219936,0.9786959290504456,0.9752827286720276,0.12780172,0.27495062
0.44998586,0.49391973,0.86440516,0.07950044,0.37048542,0.4144193,0.9795609712600708,0.9757423400878906,0.12235683,0.2058776
0.34339607,0.47366136,0.7996571,0.017400324,0.32599574,0.45626104,0.9769846200942993,0.9788296222686768,-0.19413579,0.16339588
0.38959348,0.47173297,0.83696485,0.02436161,0.36523187,0.44737136,0.9809558987617493,0.9804055094718933,0.14296919,0.20312405
0.46450758,0.34978616,0.823423,-0.009129286,0.47363687,0.35891545,0.9830507636070251,0.9791533350944519,0.28899378,0.08739716
0.5506612,0.57158464,0.9038762,0.2183696,0.3322916,0.35321504,0.9765358567237854,0.9755765795707703,0.13549775,0.32465762
0.53545654,0.43692374,0.8521052,0.12027508,0.41518146,0.31664866,0.9785755276679993,0.9811884760856628,0.17779833,0.11607301
0.4350273,0.49183202,0.8595604,0.06729895,0.36772835,0.42453307,0.9781116247177124,0.9764136075973511,0.01641792,0.045234203
0.4672305,0.58690476,0.8594501,0.19468522,0.27254528,0.39221954,0.9791861772537231,0.9786117672920227,0.15165854,0.36371654
0.44592828,0.6499887,0.8746414,0.22127557,0.22465271,0.42871314,0.9750118255615234,0.9781662225723267,0.06393582,0.083773494
0.45737767,0.47824687,0.8631968,0.07242775,0.38494992,0.40581912,0.9727808237075806,0.9748964309692383,0.25512224,0.20380014
0.50579804,0.57198226,0.8784026,0.19937766,0.3064204,0.3726046,0.9872623682022095,0.9855049848556519,0.19496822,0.21706986
0.33802813,0.5608403,0.8160391,0.082829356,0.25519878,0.47801095,0.9735801815986633,0.9706580638885498,0.11189401,0.056855917
0.54286575,0.54424965,0.8899171,0.19719833,0.34566742,0.34705132,0.9715110063552856,0.973544716835022,0.2055307,0.37004423
0.5479628,0.3145383,0.84552157,0.016979516,0.53098327,0.29755878,0.9782487154006958,0.9802584648132324,0.060860515,-0.13097286
0.4767915,0.51172364,0.8823321,0.10618305,0.37060845,0.4055406,0.9744720458984375,0.9819806218147278,0.23473692,0.2608524
0.3668406,0.2516904,0.77682644,-0.15829545,0.52513605,0.40998584,0.9707255959510803,0.9682155847549438,-0.010155082,-0.1529901
0.41145104,0.42867666,0.8536074,-0.01347971,0.42493075,0.44215637,0.9821897745132446,0.966110348701477,0.04161489,0.32937884
0.5798739,0.45922536,0.9139345,0.12516469,0.45470923,0.33406067,0.9785516858100891,0.9762653112411499,0.34838468,0.20113575
0.5372367,0.51379085,0.895399,0.15562856,0.38160813,0.35816228,0.9761752486228943,0.9781765341758728,0.14554524,0.23278719
0.46096283,0.4246071,0.8694703,0.016099632,0.4448632,0.40850747,0.976959764957428,0.9818123579025269,0.23601824,0.22187084
0.49093682,0.3637783,0.8476739,0.007041216,0.4838956,0.35673708,0.9846410155296326,0.982922375202179,0.071234226,-0.19835949
0.36440378,0.2864349,0.83531785,-0.18447918,0.54888296,0.47091407,0.9791581034660339,0.9770236611366272,-0.16067207,-0.02676928
0.4827476,0.48469698,0.86833864,0.099105954,0.38364166,0.38559103,0.9738774299621582,0.9786428213119507,0.0507043,0.1816181
0.4703558,0.5124459,0.8788888,0.10391295,0.36644286,0.40853298,0.9742771983146667,0.9742557406425476,0.22100031,0.14734495
0.45296687,0.52154565,0.85287917,0.12163335,0.33133352,0.3999123,0.9821021556854248,0.9806033372879028,0.28775048,0.18360645
0.49467337,0.35798573,0.84168214,0.01097697,0.4836964,0.34700876,0.9786429405212402,0.973299503326416,0.2749676,0.12297505
0.46757275,0.54228115,0.8856565,0.124197364,0.34337538,0.4180838,0.9826414585113525,0.9790527820587158,0.28118098,0.29002184
0.48795086,0.34728664,0.83329713,0.0019403696,0.4860105,0.34534627,0.9753527045249939,0.977986216545105,0.2976877,0.030198038
0.37472898,0.5470972,0.8569088,0.064917386,0.3098116,0.48217982,0.9682316184043884,0.9735350608825684,0.14791298,0.33137244
0.57453346,0.38891673,0.8903858,0.07306439,0.5014691,0.31585234,0.9708828330039978,0.9762511849403381,0.21210307,0.07283455
0.3735656,0.50784785,0.86094856,0.020464897,0.35310072,0.48738295,0.9783452749252319,0.975233256816864,-0.30941248,0.09747857
0.53148186,0.5122371,0.88194156,0.16177738,0.36970448,0.3504597,0.9821823835372925,0.9796823859214783,0.28936398,0.34446317
0.43895292,0.4914655,0.90924114,0.021177292,0.41777563,0.47028822,0.983222484588623,0.9852564930915833,0.1310358,0.22461408
0.53108644,0.48354632,0.87685406,0.13777864,0.3933078,0.34576768,0.9739609956741333,0.9824649691581726,0.27904528,0.10279298
0.47355783,0.5676609,0.8689421,0.17227668,0.30128115,0.39538425,0.9810971021652222,0.9800485372543335,0.07335162,0.24969131
0.54916394,0.5881865,0.89941156,0.23793888,0.31122506,0.35024762,0.975485622882843,0.9767135381698608,0.25121456,0.31963587
0.46334702,0.3600436,0.82507443,-0.0016838312,0.46503085,0.36172742,0.9784159660339355,0.9716854691505432,-0.110753775,0.02418387
0.4901467,0.58498085,0.8496134,0.22551417,0.26463252,0.35946667,0.9808892011642456,0.9796521663665771,0.029708982,0.19707483
0.41268831,0.50687337,0.8855692,0.03399247,0.37869585,0.4728809,0.9809650182723999,0.9804067611694336,0.03866577,0.057797253
0.37461197,0.51810634,0.8724279,0.020290434,0.35432154,0.4978159,0.9717628955841064,0.9666725993156433,0.26597,0.19584286
0.42388874,0.43079847,0.8541558,0.000531435,0.4233573,0.43026704,0.9784682989120483,0.9771989583969116,0.19470608,0.06456858
0.56348395,0.5173892,0.85109186,0.22978127,0.33370268,0.2876079,0.9780593514442444,0.9776774048805237,0.15683824,0.029266
0.31615037,0.33736742,0.8684047,-0.2148869,0.5310373,0.5522543,0.9763162136077881,0.9739580154418945,0.13113111,-0.017200232
0.4181934,0.42602324,0.8729304,-0.028713763,0.44690716,0.454737,0.9688750505447388,0.9738529920578003,0.021681964,0.037783682
0.48035032,0.42325014,0.86647266,0.037127793,0.44322252,0.38612235,0.9844492673873901,0.9860213398933411,0.27507877,0.20518273
0.47551686,0.3391103,0.8395467,-0.02491951,0.50043637,0.36402982,0.9799006581306458,0.9800207018852234,0.29102892,0.07271451
0.38147056,0.49748147,0.85969484,0.019257188,0.36221337,0.47822428,0.9708969593048096,0.9780170321464539,-0.01050365,0.18607712
0.5409444,0.44733077,0.8889051,0.09937006,0.44157434,0.3479607,0.9766027331352234,0.9759408831596375,0.14232534,0.20345473
0.46168303,0.54231477,0.87822574,0.12577206,0.33591098,0.4165427,0.9796777963638306,0.9783544540405273,0.1313371,0.3636791
0.5237644,0.4350971,0.87850606,0.080355406,0.44340897,0.3547417,0.9818785190582275,0.9818078279495239,0.26820624,0.08999795
0.5195804,0.38185948,0.8308796,0.07056028,0.44902015,0.3112992,0.9731854200363159,0.9762999415397644,0.1048646,0.14967543
0.53070927,0.44532448,0.89856327,0.07747048,0.4532388,0.367854,0.9758053421974182,0.975252091884613,0.24073333,0.15176249
0.49996912,0.4959861,0.8885788,0.107376456,0.39259267,0.38860965,0.9800328016281128,0.9846290349960327,0.26237363,0.39630198
