x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score
0.63019544,0.7650151,0.8910798,0.5041307,0.12606472,0.2608844,0.9878024458885193,0.9901453256607056,0.10123581,0.2980829
0.659507,0.7887335,0.88544923,0.5627913,0.09671569,0.2259422,0.9830520749092102,0.9862575531005859,0.05359304,0.15581805
0.679618,0.82350206,0.9359842,0.5671359,0.11248213,0.2563662,0.9813618659973145,0.9849058985710144,0.1811356,0.2526114
0.67031157,0.8102707,0.9057888,0.57479346,0.09551811,0.23547727,0.9831627607345581,0.9795999526977539,0.038192034,0.2338776
0.63402116,0.78103644,0.90770906,0.5073486,0.12667257,0.27368784,0.9920347929000854,0.990259051322937,0.012389421,0.25212377
0.53825486,0.7512779,0.8439044,0.4456284,0.09262645,0.30564952,0.9863414764404297,0.9868742227554321,0.014913797,0.122647464
0.6178542,0.7405232,0.8364223,0.52195513,0.095899045,0.21856809,0.9874057173728943,0.9865474104881287,-0.0104750395,-0.004184723
0.6070515,0.6633552,0.8452133,0.42519343,0.18185806,0.23816174,0.9775958061218262,0.9798527956008911,0.086488545,0.19883949
0.6035302,0.7268914,0.8794548,0.4509669,0.15256333,0.2759245,0.9873542189598083,0.9842618107795715,0.113524795,0.10484451
0.6215739,0.7380787,0.8931608,0.46649182,0.1550821,0.2715869,0.9865067601203918,0.9861806631088257,0.06421232,0.13551396
0.65795696,0.7584988,0.88211244,0.5343433,0.123613656,0.22415549,0.9866592288017273,0.9833935499191284,0.02018994,0.21745831
0.6818406,0.73223686,0.8861065,0.527971,0.15386957,0.20426583,0.9908039569854736,0.9867914319038391,0.1861729,0.119270205
0.6747829,0.7462571,0.899717,0.5213231,0.15345979,0.22493404,0.9888497591018677,0.9861259460449219,0.10519767,0.23143655
0.5722737,0.68978536,0.84705126,0.4150077,0.15726596,0.27477765,0.9847859740257263,0.9832966327667236,0.08641875,0.063209295
