x1_score,x2_score,vp_joint_score,vp_shared_score,vp_x1_unique_score,vp_x2_unique_score,rm_x2_to_x1_score,rm_x1_to_x2_score,rm_x1_unique_score,rm_x2_unique_score
0.876691,0.7316922,0.87576187,0.7326213,0.14406967,-0.0009291172,0.9878024458885193,0.9901453256607056,0.10896456,-0.0067070723
0.89191115,0.8065621,0.8941656,0.80430764,0.08760351,0.002254486,0.9830520749092102,0.9862575531005859,0.04226309,-0.006000161
0.9312275,0.8078439,0.9312313,0.80784005,0.123387456,3.874302e-06,0.9813618659973145,0.9849058985710144,0.19778728,-0.002497077
0.8968402,0.7883362,0.8978848,0.7872916,0.10954863,0.001044631,0.9831627607345581,0.9795999526977539,0.04104966,-0.029176354
0.9064231,0.7679043,0.9039342,0.7703932,0.1360299,-0.0024889112,0.9920347929000854,0.990259051322937,0.053419948,-0.0023070574
0.8557183,0.77295905,0.8557534,0.77292395,0.08279437,3.5107136e-05,0.9863414764404297,0.9868742227554321,0.029473126,-0.040914297
0.86017036,0.78553194,0.86337686,0.7823255,0.07784486,0.0032064319,0.9874057173728943,0.9865474104881287,0.00436604,-0.041273713
0.8450407,0.66241324,0.84502685,0.66242707,0.18261361,-1.3828278e-05,0.9775958061218262,0.9798527956008911,0.12972814,-0.0014756918
0.88627136,0.74860585,0.8862719,0.7486053,0.13766605,5.364418e-07,0.9873542189598083,0.9842618107795715,0.15350252,-0.008826613
0.9036983,0.7652532,0.902485,0.7664665,0.13723183,-0.0012133121,0.9865067601203918,0.9861806631088257,0.07323748,-0.0013376474
0.8761764,0.7592663,0.880527,0.7549157,0.1212607,0.0043506026,0.9866592288017273,0.9833935499191284,0.035552263,-0.0002616644
0.8965836,0.7639134,0.89875,0.76174694,0.13483667,0.00216645,0.9908039569854736,0.9867914319038391,0.182967,0.0014721155
0.894597,0.7308228,0.8945712,0.73084867,0.16374832,-2.5868416e-05,0.9888497591018677,0.9861259460449219,0.09209889,-0.02072215
0.8801628,0.7490318,0.8774963,0.7516982,0.12846458,-0.0026664138,0.9847859740257263,0.9832966327667236,0.04563421,-0.006397605
0.9145775,0.75681037,0.91457,0.75681794,0.15775955,-7.56979e-06,0.9827998280525208,0.9872193336486816,0.18582922,0.0010668039
