,$(X_1\cup X_2)\beta \approx Y$,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$R^2(X_1\beta \approx Y)\cap R^2(X_2\beta \approx Y)$,$R^2(X_1\beta \approx Y) \setminus R^2(X_2\beta \approx Y)$,$R^2(X_2\beta \approx Y) \setminus R^2(X_1\beta \approx Y)$
0,0.8962465,0.7266587,0.38655174,0.21696395,0.50969476,0.16958779
1,0.87484944,0.71023434,0.4407885,0.27617347,0.43406087,0.16461504
2,0.9380403,0.7754017,0.5527887,0.39015,0.3852517,0.16263866
3,0.89775753,0.72103393,0.48011392,0.30339026,0.41764367,0.17672366
4,0.90077883,0.70157236,0.34158987,0.1423834,0.55918896,0.19920647
5,0.84057593,0.6287783,0.39135146,0.17955375,0.44922453,0.21179771
6,0.8323315,0.6911409,0.3343175,0.19312686,0.49801403,0.14119065
7,0.86062163,0.7263905,0.23149061,0.09725946,0.629131,0.13423115
8,0.8943437,0.74251115,0.33319783,0.18136531,0.56114584,0.15183252
9,0.8919497,0.71697986,0.30912203,0.13415211,0.58282775,0.17496991
10,0.87088656,0.7205416,0.34072387,0.1903789,0.5301627,0.15034497
11,0.8979752,0.78011143,0.3875504,0.2696867,0.51042473,0.117863715
12,0.90301096,0.76264966,0.35160464,0.21124327,0.5514064,0.14036137
13,0.8514555,0.6736616,0.31188446,0.13409054,0.53957105,0.17779392
14,0.9145045,0.8004363,0.40307987,0.28901172,0.5114246,0.11406815
15,0.897015,0.72122675,0.4651143,0.28932607,0.43190068,0.17578822
16,0.82998174,0.638039,0.4004504,0.2085076,0.4295314,0.19194281
17,0.8974441,0.71524686,0.4069211,0.22472382,0.49052304,0.18219727
18,0.8853743,0.7202326,0.5340837,0.36894202,0.35129058,0.1651417
19,0.904979,0.64963794,0.4323833,0.17704225,0.4725957,0.25534105
20,0.87925225,0.6944568,0.4282028,0.24340743,0.4510494,0.18479538
21,0.8836076,0.7355962,0.3736834,0.225672,0.5099242,0.14801139
22,0.9027136,0.75045633,0.3889385,0.23668116,0.51377517,0.15225732
23,0.90097356,0.79669344,0.47548014,0.37120008,0.42549336,0.104280055
24,0.88595635,0.6877446,0.42762488,0.22941321,0.4583314,0.19821167
25,0.8803291,0.7281162,0.22097641,0.068763554,0.65935266,0.15221286
26,0.88420546,0.78102416,0.5035492,0.40036786,0.3806563,0.10318136
27,0.9109894,0.76249087,0.36053443,0.2120359,0.550455,0.14849854
28,0.87269026,0.71859705,0.36178255,0.20768934,0.5109077,0.1540932
29,0.88717246,0.68531144,0.3949005,0.19303942,0.49227202,0.20186108
30,0.87717676,0.704256,0.37838513,0.20546436,0.49879164,0.17292076
31,0.8869019,0.7042223,0.47145045,0.28877085,0.41545147,0.1826796
